Start Time:  10-12-2024 14:38:43          Time Completed:  10-12-2024 15:30:14      Elapsed Time:  00:51:31
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.exp
Data File:     C:\IDEASVSM\LS_QC\LB97FP1.txt
Plot File:     C:\IDEASVSM\LS_QC\LB97FP1.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.stp
VSM Data File: C:\IDEASVSM\LS_QC\LB97FP1.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	-0.000109881 	
 18000 	-0.0000768645 	
 17000 	-0.0000422086 	
 16000 	-0.00000772026 	
 15000 	 0.0000266664 	
 14000 	 0.0000611734 	
 13000 	 0.0000938382 	
 12000 	 0.000127621 	
 11000 	 0.000161209 	
 10000 	 0.00019617 	
 8999.99 	 0.000228998 	
 8000 	 0.000264266 	
 7000.03 	 0.000297959 	
 5999.99 	 0.000332544 	
 4999.99 	 0.000367743 	
 4000.01 	 0.000401201 	
 3000.03 	 0.000435374 	
 2000.01 	 0.000467188 	
 1000.01 	 0.000489678 	
 949.961 	 0.000490752 	
 899.99 	 0.000490492 	
 850.002 	 0.000489602 	
 799.993 	 0.000490138 	
 750.003 	 0.000488257 	
 699.981 	 0.000488661 	
 650.009 	 0.000486009 	
 599.994 	 0.000483895 	
 549.983 	 0.000480901 	
 500.011 	 0.000477086 	
 449.996 	 0.000472189 	
 400.003 	 0.000465103 	
 350.019 	 0.000456755 	
 300.003 	 0.000444968 	
 249.998 	 0.000429039 	
 199.984 	 0.0004063 	
 189.996 	 0.00039995 	
 180.001 	 0.000393813 	
 170.001 	 0.000387341 	
 159.993 	 0.000380371 	
 149.994 	 0.000370995 	
 139.987 	 0.000361474 	
 130.003 	 0.000351174 	
 119.987 	 0.000338804 	
 110.003 	 0.000326121 	
 99.9924 	 0.000311666 	
 90.0005 	 0.000295135 	
 79.9985 	 0.000276472 	
 70.346 	 0.000255666 	
 60.0011 	 0.000232197 	
 49.9926 	 0.000204122 	
 40.0029 	 0.000174271 	
 29.9961 	 0.000138256 	
 20.002 	 0.0000964568 	
 18.0074 	 0.0000872017 	
 15.9951 	 0.00007787 	
 14.0009 	 0.0000681871 	
 11.9913 	 0.0000584728 	
 10.0046 	 0.000048873 	
 7.99261 	 0.0000383344 	
 5.9996 	 0.0000282071 	
 3.99712 	 0.0000169705 	
 1.99263 	 0.00000665928 	
 0.00442521 	-0.00000353947 	
-2.0017 	-0.0000143307 	
-3.99204 	-0.0000248138 	
-6.00373 	-0.0000355535 	
-7.98631 	-0.0000452686 	
-9.99201 	-0.0000553591 	
-11.997 	-0.0000654123 	
-14.0073 	-0.0000747436 	
-15.9998 	-0.0000843573 	
-18.005 	-0.0000934838 	
-20.0042 	-0.00010292 	
-30.0005 	-0.000143154 	
-40.0126 	-0.00017839 	
-50.0054 	-0.000209035 	
-60.0088 	-0.000235774 	
-70.0021 	-0.000258957 	
-80.0001 	-0.000280019 	
-90.0083 	-0.000298794 	
-99.9903 	-0.000314781 	
-110.003 	-0.000329327 	
-119.994 	-0.00034222 	
-130.01 	-0.000353477 	
-140.003 	-0.000364798 	
-150.002 	-0.000373966 	
-159.993 	-0.00038226 	
-170.001 	-0.000389762 	
-179.994 	-0.000397251 	
-190.004 	-0.000403301 	
-199.996 	-0.000408682 	
-250.004 	-0.000429653 	
-300.001 	-0.000445431 	
-349.999 	-0.000456152 	
-400.014 	-0.000464422 	
-450.004 	-0.00046984 	
-499.999 	-0.000474388 	
-550.011 	-0.000477958 	
-599.992 	-0.000481297 	
-649.992 	-0.000482174 	
-699.997 	-0.000483977 	
-750.006 	-0.000485101 	
-800.003 	-0.000486163 	
-850.005 	-0.000485686 	
-900 	-0.000485683 	
-950.006 	-0.000485358 	
-1000.01 	-0.000484869 	
-2000.01 	-0.000461562 	
-3000.02 	-0.000428731 	
-4000.03 	-0.000395685 	
-5000.01 	-0.000361773 	
-6000.02 	-0.000326679 	
-6999.99 	-0.000292777 	
-8000.01 	-0.000259213 	
-9000 	-0.000224588 	
-10000 	-0.000191224 	
-11000 	-0.000157314 	
-12000 	-0.000123336 	
-13000 	-0.0000888628 	
-14000 	-0.000055569 	
-15000 	-0.0000214533 	
-16000 	 0.000012781 	
-17000 	 0.0000473006 	
-18000 	 0.0000813707 	
-19000 	 0.00011493 	
-18000 	 0.0000805339 	
-17000 	 0.0000469809 	
-16000 	 0.0000127565 	
-15000 	-0.0000218678 	
-14000 	-0.0000564117 	
-13000 	-0.0000905531 	
-12000 	-0.000124484 	
-11000 	-0.000159033 	
-10000 	-0.000193015 	
-9000.01 	-0.000224962 	
-8000.01 	-0.000260045 	
-7000 	-0.000293664 	
-6000.01 	-0.00032834 	
-5000.02 	-0.000363075 	
-3999.99 	-0.00039622 	
-2999.81 	-0.00042973 	
-2000 	-0.000461318 	
-999.986 	-0.000484681 	
-950.001 	-0.000485082 	
-900.002 	-0.000485062 	
-849.986 	-0.000484221 	
-800.003 	-0.000483771 	
-750 	-0.000481594 	
-700.008 	-0.00048038 	
-649.992 	-0.000479767 	
-599.983 	-0.000477136 	
-549.992 	-0.000475014 	
-499.995 	-0.000470289 	
-449.987 	-0.000465574 	
