Start Time:  10-12-2024 17:01:20          Time Completed:  10-12-2024 17:51:58      Elapsed Time:  00:50:37
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.exp
Data File:     C:\IDEASVSM\LS_QC\LB97P.txt
Plot File:     C:\IDEASVSM\LS_QC\LB97P.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.stp
VSM Data File: C:\IDEASVSM\LS_QC\LB97P.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.00230018 	
 18000 	 0.00234404 	
 17000 	 0.00238781 	
 16000 	 0.00243053 	
 15000 	 0.00247354 	
 14000 	 0.00251515 	
 13000 	 0.00255684 	
 12000 	 0.00259717 	
 11000 	 0.00263787 	
 10000 	 0.00267871 	
 9000 	 0.00271842 	
 7999.99 	 0.00275739 	
 6999.99 	 0.00279599 	
 6000 	 0.00283348 	
 5000 	 0.00287192 	
 4000 	 0.00290147 	
 2999.95 	 0.00292569 	
 1999.99 	 0.00293471 	
 999.998 	 0.00288547 	
 949.996 	 0.00287784 	
 900.003 	 0.00286908 	
 849.99 	 0.00285968 	
 799.996 	 0.00284857 	
 749.991 	 0.00283623 	
 699.986 	 0.00282122 	
 650.003 	 0.00280362 	
 599.998 	 0.00278355 	
 549.989 	 0.00275896 	
 499.996 	 0.00272982 	
 449.997 	 0.002694 	
 400.002 	 0.00264906 	
 349.984 	 0.00259068 	
 299.993 	 0.00251248 	
 249.999 	 0.00240066 	
 199.995 	 0.00222932 	
 189.998 	 0.00218241 	
 179.999 	 0.00213231 	
 169.999 	 0.00207552 	
 159.996 	 0.00201327 	
 149.995 	 0.00194294 	
 139.999 	 0.00186545 	
 129.999 	 0.00177891 	
 119.99 	 0.0016826 	
 109.993 	 0.00157592 	
 99.9993 	 0.00145927 	
 89.9996 	 0.00133268 	
 80.0016 	 0.00119653 	
 70.0014 	 0.00105182 	
 60.0014 	 0.00090579 	
 50.0008 	 0.00076175 	
 40.0052 	 0.000618326 	
 30.0075 	 0.00047524 	
 20.0023 	 0.000328044 	
 17.9941 	 0.000297354 	
 15.9957 	 0.000265781 	
 14.006 	 0.000235552 	
 12.0033 	 0.000203458 	
 9.99234 	 0.000171256 	
 7.99609 	 0.000138607 	
 5.98961 	 0.000104768 	
 3.99616 	 0.0000698496 	
 2.0037 	 0.0000357356 	
 0.00377825 	-0.000000579752 	
-1.99634 	-0.0000362269 	
-3.99286 	-0.0000701449 	
-5.99495 	-0.00010358 	
-7.99309 	-0.000136258 	
-9.99898 	-0.000168559 	
-12.0034 	-0.000200277 	
-14.0015 	-0.000231194 	
-16.0075 	-0.000262297 	
-18.0052 	-0.000293009 	
-19.9984 	-0.000322953 	
-30.0011 	-0.000468533 	
-40.0012 	-0.000608766 	
-49.9992 	-0.000749771 	
-59.9968 	-0.00089247 	
-70.0021 	-0.00103711 	
-80.0035 	-0.00118048 	
-90.0044 	-0.00131694 	
-100.003 	-0.00144461 	
-109.995 	-0.00156218 	
-120.003 	-0.0016699 	
-129.997 	-0.00176674 	
-140.002 	-0.00185494 	
-149.993 	-0.00193396 	
-160.003 	-0.00200468 	
-170.001 	-0.00206848 	
-179.995 	-0.00212576 	
-190.005 	-0.00217767 	
-200.002 	-0.00222371 	
-250.007 	-0.00239753 	
-300.002 	-0.00251013 	
-349.996 	-0.00258979 	
-400.01 	-0.00264778 	
-450.009 	-0.00269352 	
-500.008 	-0.00273003 	
-549.994 	-0.00275955 	
-600.005 	-0.00278374 	
-650 	-0.00280429 	
-699.995 	-0.00282178 	
-750.006 	-0.00283639 	
