Start Time:  10-12-2024 10:58:58          Time Completed:  10-12-2024 11:48:55      Elapsed Time:  00:49:56
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.exp
Data File:     C:\IDEASVSM\LS_QC\LB100P.txt
Plot File:     C:\IDEASVSM\LS_QC\LB100P.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.stp
VSM Data File: C:\IDEASVSM\LS_QC\LB100P.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.000976205 	
 18000 	 0.00101048 	
 17000 	 0.00104379 	
 16000 	 0.00107843 	
 15000 	 0.00111136 	
 14000 	 0.00114657 	
 13000 	 0.00117771 	
 12000 	 0.00121085 	
 11000 	 0.00124346 	
 9999.99 	 0.00127472 	
 8999.99 	 0.00130806 	
 7999.97 	 0.00133971 	
 6999.97 	 0.00137169 	
 5999.99 	 0.00140254 	
 4999.98 	 0.00143421 	
 3999.99 	 0.00145832 	
 3000.42 	 0.00148008 	
 2000 	 0.00148464 	
 999.994 	 0.00143288 	
 949.996 	 0.00142593 	
 899.996 	 0.00141616 	
 850.002 	 0.00140731 	
 799.989 	 0.00139537 	
 750.004 	 0.00138266 	
 700.002 	 0.00136728 	
 649.995 	 0.00134906 	
 599.991 	 0.0013298 	
 549.988 	 0.00130419 	
 499.999 	 0.00127316 	
 450.002 	 0.00123719 	
 399.989 	 0.00119156 	
 350.028 	 0.00113404 	
 299.983 	 0.00106297 	
 249.997 	 0.000971231 	
 200.003 	 0.00085367 	
 189.996 	 0.000825886 	
 179.991 	 0.00079676 	
 170 	 0.000766668 	
 160 	 0.000735303 	
 150.001 	 0.000701953 	
 139.996 	 0.000667722 	
 130.002 	 0.000631224 	
 119.999 	 0.000592774 	
 110.002 	 0.000552365 	
 100.002 	 0.000510595 	
 90.0058 	 0.000467064 	
 79.9996 	 0.000421446 	
 69.9917 	 0.000374488 	
 60.0088 	 0.000325284 	
 49.9941 	 0.000275643 	
 40.005 	 0.000224047 	
 30.0013 	 0.000170533 	
 20.0051 	 0.000112833 	
 18.076 	 0.000100368 	
 16.015 	 0.0000884765 	
 13.9993 	 0.0000764117 	
 11.9928 	 0.000063869 	
 10.0007 	 0.0000516792 	
 7.99288 	 0.0000407156 	
 6.00176 	 0.0000285412 	
 4.00199 	 0.0000167445 	
 1.99006 	 0.00000645415 	
-0.00262004 	-0.00000527006 	
-2.00244 	-0.0000159591 	
-4.00362 	-0.0000272474 	
-6.00582 	-0.0000385643 	
-7.99719 	-0.0000497671 	
-10.0016 	-0.0000611054 	
-12.0061 	-0.0000724676 	
-14.0069 	-0.0000844899 	
-15.9983 	-0.0000959557 	
-18.0008 	-0.00010774 	
-19.9968 	-0.00012061 	
