Start Time:  10-12-2024 16:07:22          Time Completed:  10-12-2024 16:57:54      Elapsed Time:  00:50:32
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.exp
Data File:     C:\IDEASVSM\LS_QC\LB100OH.txt
Plot File:     C:\IDEASVSM\LS_QC\LB100OH.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.stp
VSM Data File: C:\IDEASVSM\LS_QC\LB100OH.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.00192132 	
 18000 	 0.00196888 	
 17000 	 0.00201405 	
 16000 	 0.00206101 	
 15000 	 0.00210972 	
 14000 	 0.00215508 	
 13000 	 0.00220098 	
 12000 	 0.00225273 	
 11000 	 0.00229261 	
 10000 	 0.00233598 	
 9000 	 0.00238045 	
 7999.98 	 0.00242438 	
 6999.98 	 0.00246732 	
 5999.99 	 0.00251097 	
 4999.99 	 0.00254486 	
 4000.01 	 0.00257468 	
 3000.17 	 0.00259505 	
 1999.99 	 0.00258483 	
 999.983 	 0.00246646 	
 949.998 	 0.00245226 	
 899.994 	 0.00243446 	
 850.001 	 0.00241546 	
 800 	 0.0023935 	
 750.001 	 0.00237 	
 700 	 0.0023395 	
 650 	 0.00230959 	
 599.997 	 0.00227149 	
 550.004 	 0.00222844 	
 499.995 	 0.00217487 	
 449.995 	 0.00211271 	
 399.991 	 0.0020373 	
 350.005 	 0.00194455 	
 299.996 	 0.00183382 	
 250.006 	 0.00168808 	
 199.995 	 0.00149784 	
 190.003 	 0.00145451 	
 179.992 	 0.00140803 	
 169.997 	 0.00136212 	
 159.997 	 0.00130954 	
 149.99 	 0.00125638 	
 139.994 	 0.0012009 	
 130.009 	 0.00114077 	
 119.997 	 0.00107861 	
 109.997 	 0.00101309 	
 99.9942 	 0.000943418 	
 90.0056 	 0.000869142 	
 79.9979 	 0.000791573 	
 69.9978 	 0.000709661 	
 59.9946 	 0.000625408 	
 49.9988 	 0.000536593 	
 39.9956 	 0.000436435 	
 30.0015 	 0.000337962 	
 19.9997 	 0.000234753 	
 18.0007 	 0.000212519 	
 16.0028 	 0.000190214 	
 13.9984 	 0.000167584 	
 11.9945 	 0.000145393 	
 9.99083 	 0.000122189 	
 7.99922 	 0.0000989044 	
 6.00133 	 0.0000756974 	
 3.99746 	 0.0000521978 	
 1.99566 	 0.0000270397 	
-0.00490204 	-0.000000395109 	
-1.99982 	-0.000027876 	
-3.99927 	-0.0000522945 	
-6.00109 	-0.0000747317 	
-8.00811 	-0.0000981494 	
-10.0025 	-0.000120417 	
-12.004 	-0.00014265 	
-14.0024 	-0.000165158 	
-16.0044 	-0.000186588 	
-18.0035 	-0.000209009 	
-19.997 	-0.00023041 	
-30.0015 	-0.00033414 	
-40.006 	-0.000433196 	
-49.9997 	-0.000527214 	
-60.0017 	-0.000617175 	
-69.9968 	-0.000702827 	
-79.997 	-0.000782178 	
-90.003 	-0.000859236 	
-100.002 	-0.000932157 	
-110.009 	-0.00100231 	
-120.002 	-0.0010673 	
-130.002 	-0.00112894 	
-140.001 	-0.00118736 	
-150.004 	-0.00124366 	
-160.004 	-0.00129706 	
-170.004 	-0.00134644 	
-179.999 	-0.00139392 	
-190.002 	-0.00143843 	
-200.003 	-0.00148313 	
-249.999 	-0.00166709 	
-300.004 	-0.00180807 	
-349.996 	-0.00192329 	
-400.003 	-0.00201247 	
-450.01 	-0.00208546 	
-499.995 	-0.00215037 	
-550.002 	-0.0021997 	
-600.006 	-0.00224454 	
-650 	-0.00228129 	
-700.003 	-0.0023121 	
-750.007 	-0.00234061 	
-800.005 	-0.00236319 	
-850.011 	-0.00238761 	
-899.999 	-0.00240483 	
-949.994 	-0.00242168 	
-999.997 	-0.00243719 	
-2000.01 	-0.00255583 	
-3000.01 	-0.00256256 	
-4000.03 	-0.00255055 	
-5000.02 	-0.00251361 	
-6000.03 	-0.00247159 	
-6999.99 	-0.00243022 	
-8000 	-0.00238737 	
-8999.99 	-0.0023446 	
-10000 	-0.00230235 	
-11000 	-0.00225544 	
-12000 	-0.00221024 	
-13000 	-0.0021656 	
-14000 	-0.00211979 	
-15000 	-0.00207698 	
-16000 	-0.00202838 	
-17000 	-0.00198084 	
-18000 	-0.00193382 	
-19000 	-0.00188695 	
-18000 	-0.00193503 	
-17000 	-0.00198263 	
-16000 	-0.00202978 	
-15000 	-0.00207483 	
-14000 	-0.00212049 	
-13000 	-0.00216789 	
-12000 	-0.00221266 	
-11000 	-0.00225907 	
-10000 	-0.00230425 	
