Start Time:  10-12-2024 17:57:46          Time Completed:  10-12-2024 18:47:01      Elapsed Time:  00:49:14
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.exp
Data File:     C:\IDEASVSM\LS_QC\LB97OH.txt
Plot File:     C:\IDEASVSM\LS_QC\LB97OH.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.stp
VSM Data File: C:\IDEASVSM\LS_QC\LB97OH.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.00130383 	
 18000 	 0.00135027 	
 17000 	 0.00139661 	
 16000 	 0.00144257 	
 15000 	 0.00148756 	
 14000 	 0.00153482 	
 13000 	 0.00157852 	
 12000 	 0.00162388 	
 11000 	 0.00166984 	
 10000 	 0.00171234 	
 9000.01 	 0.00175708 	
 8000 	 0.0017996 	
 6999.98 	 0.0018399 	
 5999.98 	 0.00188244 	
 5000 	 0.00192414 	
 3999.97 	 0.00195507 	
 3000.03 	 0.00198103 	
 1999.99 	 0.00198408 	
 999.994 	 0.00189207 	
 950 	 0.00188161 	
 899.996 	 0.00186536 	
 849.992 	 0.0018508 	
 799.995 	 0.00183333 	
 749.999 	 0.00181364 	
 699.995 	 0.00179029 	
 649.997 	 0.00176442 	
 599.997 	 0.00173548 	
 549.999 	 0.00170501 	
 499.995 	 0.00166981 	
 449.995 	 0.00162877 	
 399.99 	 0.00158217 	
 350.018 	 0.00152781 	
 300.002 	 0.00146594 	
 250.004 	 0.00139378 	
 200 	 0.00130295 	
 189.991 	 0.00128176 	
 180.002 	 0.00126017 	
 170.001 	 0.00123623 	
 159.996 	 0.00121194 	
 149.996 	 0.0011865 	
 139.995 	 0.00115873 	
 129.995 	 0.00112789 	
 119.998 	 0.00109461 	
 109.995 	 0.00105946 	
 99.9956 	 0.00102123 	
 90.0034 	 0.000979083 	
 80.0116 	 0.000930747 	
 69.986 	 0.000875749 	
 59.9969 	 0.000813304 	
 49.9912 	 0.000740331 	
 39.9909 	 0.000651094 	
 29.992 	 0.000545971 	
 20.0001 	 0.000413554 	
 17.9985 	 0.000381723 	
 15.993 	 0.000350144 	
 13.9999 	 0.000314243 	
 12.0114 	 0.000276921 	
 9.99998 	 0.000237549 	
 7.99748 	 0.000191876 	
 5.99334 	 0.000147472 	
 3.99459 	 0.0000994576 	
 2.00257 	 0.0000497236 	
 0.004988 	 0.00000147365 	
-1.99421 	-0.0000460336 	
-3.99232 	-0.0000915825 	
-5.9954 	-0.000134115 	
-8.00062 	-0.000179198 	
-10.0014 	-0.000220825 	
-12.0067 	-0.000262239 	
-13.9982 	-0.000302939 	
-16.008 	-0.00034266 	
-18.0063 	-0.000376371 	
-20.0052 	-0.000408936 	
-29.9998 	-0.00054473 	
-40.0058 	-0.000648989 	
-50.0053 	-0.000737604 	
-60.0088 	-0.000810389 	
-69.9947 	-0.000872825 	
-79.9998 	-0.000925029 	
-90.0005 	-0.000973863 	
-99.9973 	-0.00101642 	
-110.001 	-0.00105308 	
-120.011 	-0.00108918 	
-129.995 	-0.00112139 	
-140.006 	-0.00115085 	
-150.001 	-0.00117709 	
-159.998 	-0.00120531 	
-170.011 	-0.00122849 	
-180.008 	-0.00125281 	
-189.994 	-0.00127235 	
-200.005 	-0.00129431 	
-249.999 	-0.00138288 	
-299.998 	-0.0014564 	
-350.004 	-0.0015196 	
-400.005 	-0.0015722 	
-449.998 	-0.00162074 	
-500.001 	-0.00166283 	
-550.008 	-0.00169898 	
-600.008 	-0.00173175 	
-650.002 	-0.0017592 	
-699.994 	-0.00178526 	
-750.008 	-0.00180896 	
-799.997 	-0.00182788 	
-849.998 	-0.00184672 	
-900.005 	-0.00186254 	
-949.996 	-0.00187769 	
-999.997 	-0.00189156 	
-2000.01 	-0.00198247 	
-3000.02 	-0.00198015 	
-4000.02 	-0.00195384 	
-5000.03 	-0.00192034 	
-6000.01 	-0.00187925 	
-7000 	-0.00183739 	
-8000.03 	-0.0017966 	
-9000.03 	-0.00175395 	
-10000 	-0.00171136 	
-11000 	-0.00166701 	
-12000 	-0.00162098 	
-13000 	-0.00157673 	
-14000 	-0.00153162 	
-15000 	-0.00148641 	
-16000 	-0.00144147 	
-17000 	-0.00139611 	
-18000 	-0.00134846 	
-19000 	-0.0013033 	
-18000 	-0.00135109 	
-17000 	-0.00139665 	
-16000 	-0.0014423 	
-15000 	-0.00148667 	
-14000 	-0.0015329 	
-13000 	-0.00157851 	
-12000 	-0.00162334 	
-11000 	-0.00166705 	
-10000 	-0.00171082 	
-8999.99 	-0.0017535 	
-8000 	-0.00179687 	
-7000 	-0.00183726 	
-6000 	-0.00187806 	
-4999.98 	-0.00191979 	
-3999.98 	-0.00195345 	
-3000.05 	-0.00197856 	
-2000 	-0.00198222 	
-999.999 	-0.0018954 	
-949.999 	-0.00188273 	
-900 	-0.0018688 	
-849.994 	-0.00185535 	
-799.999 	-0.00183666 	
-749.994 	-0.00181675 	
-699.999 	-0.00179593 	
-649.993 	-0.00177045 	
-599.998 	-0.00174194 	
-549.997 	-0.00171154 	
-499.998 	-0.00167623 	
-449.995 	-0.00163682 	
-399.988 	-0.00159081 	
-349.993 	-0.00153976 	
-299.998 	-0.00147955 	
-249.994 	-0.00140612 	
-200.006 	-0.00131666 	
-189.986 	-0.00129599 	
-180.001 	-0.00127371 	
-170.002 	-0.00125134 	
-159.995 	-0.00122659 	
-149.994 	-0.0011991 	
-140 	-0.00117192 	
-130.003 	-0.00114224 	
-119.998 	-0.00111005 	
-109.997 	-0.00107527 	
-99.9947 	-0.00103485 	
-90.0042 	-0.000992561 	
-79.9991 	-0.000944417 	
-69.9925 	-0.000889161 	
-60.0035 	-0.000824766 	
-50.0025 	-0.000748707 	
-40.0042 	-0.000658261 	
-30 	-0.000550173 	
-19.999 	-0.000413825 	
-18.0021 	-0.00038144 	
-15.9964 	-0.000343996 	
-13.999 	-0.000308506 	
-11.9918 	-0.000265795 	
-9.99817 	-0.000224065 	
-7.99343 	-0.000183061 	
-5.99879 	-0.000135018 	
-3.99683 	-0.000088438 	
-1.99034 	-0.0000452132 	
-0.00556163 	-0.000000956944 	
 2.00449 	 0.0000435218 	
 3.98805 	 0.0000858266 	
 6.00273 	 0.000129046 	
 7.99989 	 0.000171677 	
 9.9949 	 0.000218973 	
 12.0054 	 0.000261936 	
 14.0026 	 0.000302949 	
 15.9999 	 0.000342082 	
 17.9923 	 0.000378488 	
 20.0016 	 0.000412657 	
 30.002 	 0.000553155 	
 39.9958 	 0.000659976 	
 49.9959 	 0.000749482 	
 60.0028 	 0.000821826 	
 69.9995 	 0.000883701 	
 79.9943 	 0.000937841 	
 89.9906 	 0.000983898 	
 100.001 	 0.00102697 	
 109.998 	 0.00106529 	
 119.992 	 0.00109968 	
 129.993 	 0.00113148 	
 140.016 	 0.00116046 	
 149.99 	 0.00118901 	
 160.001 	 0.00121407 	
 169.993 	 0.00123816 	
 179.991 	 0.00126024 	
 189.998 	 0.00128316 	
 199.995 	 0.00130232 	
 250.01 	 0.00139197 	
 299.998 	 0.00146552 	
 350.002 	 0.00152665 	
 400.006 	 0.00158068 	
 450.003 	 0.0016269 	
 500.008 	 0.00166766 	
 550.001 	 0.00170288 	
 600.006 	 0.00173415 	
 650.001 	 0.00176349 	
 700.003 	 0.00178779 	
 750.01 	 0.0018103 	
 800.009 	 0.0018308 	
 849.991 	 0.00184626 	
 899.996 	 0.00186249 	
 949.999 	 0.00187522 	
 999.998 	 0.00188693 	
 2000.01 	 0.00197826 	
 3000.01 	 0.00197373 	
 4000 	 0.00194636 	
 4999.99 	 0.00191409 	
 6000.03 	 0.00187172 	
 7000.02 	 0.00183109 	
 8000.02 	 0.00178832 	
 9000 	 0.00174522 	
 9999.99 	 0.00170125 	
 11000 	 0.00165719 	
 12000 	 0.00161481 	
 13000 	 0.00156854 	
 14000 	 0.00152381 	
 15000 	 0.0014779 	
 16000 	 0.00143196 	
 17000 	 0.00138649 	
 18000 	 0.00134257 	
 19000 	 0.001295 	

	
	
